PART NUMBER,QUANTITY,PRICE,AISLE,SELF,COLUMN
131008K,2,71.79,3,5,B
10032666,2,52.97,3,5,B
1250 E 473,4,3.07,3,5,B
211987X,1,41.63,3,6,B
6.3-4-161-1,1,150.46,3,1,C
6-3-2651KX,1,172.91,3,1,C
6-4-8991-1X,1,134.31,3,1,C
6-4-9181-1X,1,412,3,1,C
6-4-9031X,1,146.66,3,1,C
6.5-4-3731X,2,274.83,3,2,C
6.5-4-3731-1X ,1,151.32,3,2,C
6.5-4-4571-1X ,1,178.25,3,2,C
6.5-4-4611-1X,1,239.66,3,2,C
6.5-4-4631-1,1,127.94,3,2,C
6.5-4-3921-1X,1,266.91,3,3,C
6.5-4-3591-1,1,168.83,3,3,C
6.5-4-4611X,1,281.56,3,3,C
6.5-4-1891,1,150.55,3,3,C
131433K,1,415.39,3,4,C
131434K,1,325.34,3,4,C
131442K,1,382.22,3,4,C
131446K,1,295.58,3,4,C
131447K,1,447.8,3,4,C
STP131008K,2,45,3,5,C
170-4-241-1X,1,188.33,3,1,D
170-4-281-1X,1,175.69,3,1,D
170-4-671-1X,1,315.3,3,1,D
170-4-721-1X,1,188.93,3,1,D
170-4-741-1X ,1,238.47,3,1,D
250-4-21-1,1,181.83,3,2,D
250-4-241-1X,1,188.33,3,2,D
250-4-271-1,1,183.04,3,2,D
250-4-81-1X,1,199.89,3,2,D
131448K,1,412.22,3,4,D
131451K,1,289.08,3,4,D
SET402,4,38.65,3,1,A
SET403,4,37.17,7,1,A
SET406,4,17.41,7,1,A
SET413,6,27.5,7,1,A
SET414,6,43.71,7,1,A
SET415,4,42.7,7,1,A
46300XT,24,29.59,7,3,A
47691XT,16,40.73,7,3,A
42627XT,2,30.62,7,3,A
43761XT,13,43.51,7,4,A
HD801,12,19.89,7,4,A
HD802,12,19.06,7,4,A
HD804,12,19.87,7,5,A
HD805,12,21.11,7,5,A
HD809,12,20.99,7,5,A
G3846-300,3,57,7,4,I
G3846-250,3,46.26,6,4,I
7727-0001,9,34,6,3,I
7715-0002,13,32,6,3,I
7755-0002,4,33.15,6,3,I
5526-050X50,4 BOX 50FEET EACH,150,6,3,J
G3896-300,3,52,6,4,J
G3896-250,3,44.8,6,4,J
G3896-063,9,23,6,4,J
5515-350,2,87,6,5,J
5515-300,4,74,6,5,J
5515-250,4,64,6,5,J
5515-225,4,60,6,5,J
5526-025X50,2 BOX 50 FEET EACH,120,6,3,K
5526-038X50,1  BOX 50 FEET EACH ,131,6,3,K
5526-100X50,2 BOX 50 FEET EACH ,245,6,4,K
5526-075X50,4 BOX 50 FEET EACH,172,6,4,K
5515-175,4,50,6,5,K
5515-150,4,44,6,5,K
5515-138,3,42,6,5,K
5515-125,4,41,6,5,K
STP04-871121,6,20,6,3,K
STP04-871122,6,20,12,3,K
STP807859,6,20,12,3,K
STP807858,6,20,12,3,K
800373,1,28.8,5,1,B
101837N,1,110,5,1,B
109871N,1,32,5,1,B
108709N,1,121,5,1,B
FS289714N,1,17.21,5,3,B
279000R,1,54.65,5,3,B
228750N,1,38.12,5,3,B
107216,1,19.97,5,3,B
280905N,1,182,5,3,B
278615N,3,39.2,5,3,B
102626N,1,75,5,5,B
FS107794N,5,44,5,7,B
R950011N,3,30,5,7,B
FS-5210,3,80,5,7,B
FS-T224A,2,86,5,7,B
TV800373,3,18.7,5,1,C
229635N,3,80,5,2,C
H284358,6,18,5,2,C
AC056,25,40.37,5,2,C
AK-147-1,1,60.71,5,2,C
K078420,1,428,5,4,C
276270N,1,218.5,5,4,C
OR279180X,2,65,5,4,C
AC175,1,38,5,2,C
170.110257,2,30,5,4,C
170KN28080,1,54.5,5,5,C
170.278615,1,15,5,5,C
OR287376 X,1,,5,5,C
201687N,2,28,5,5,C
OR284412,1,132.95,5,5,C
K033221,1,168,5,5,C
801998,1,133,5,5,C
236979N,1,110.6,5,5,C
90554615,3,49.12,5,1,D
170.MV3-75RBK,1,93,5,4,D
AL919347,1,58.38,5,4,D
577.A4410323340,6,28,5,4,D
HDPH401047,30,7.27,5,2,D
HDPH401046,24,7.27,5,2,D
BEN298817N,2,9.32,5,2,C
WIM116731,3,434,5,6,C
BEN298818N,4,9.32,5,2,C
AC004,2,81,5,1,C
AC092,1,35.24,5,1,C
WIM111817,2,167,5,2,C
AC008,1,18.93,5,1,C
AC005,1,39.95,5,1,C
AC048R,1,129.43,5,1,C
AC047R,1,35.7,5,1,C
HKN28601 X,1,93.14,5,5,D
HKN28600,2,130,5,5,D
577.A5336,12,24,5,3,E
STPR955336,21,14,5,3,E
M955342,5,36,5,2,E
M955336,6,33.4,5,2,E
M955338,7,34.85,5,2,E
STPR955338,15,14,5,2,E
577.A5341,1,24,5,3,E
STPR955342,14,14,5,3,E
STPR955335,13,14,5,3,E
STP801552BXW,20,14,5,3,E
AC009,8,48.11,5,1,C
140370,1,27.64,5,1,E
STP801546BXW,20,14,5,4,E
STPBW801562,20,14,5,4,E
STPK181265BXW,20,14,5,4,E
STPAL364062,20,14,5,4,E
449-364-143-0,2,138,5,5,E
449-364-150-0,1,231,5,5,E
WAB4006120010,1,768,5,7,E
400-500-101-0,2,616,5,7,E
SEL110338,2,158,5,1,F
110576,2,55.35,5,1,F
110800N,3,88.96,5,1,F
110197,1,93.55,5,2,F
110587,1,73.5,5,2,F
110570,1,113,5,2,F
S30300,6,14,5,3,F
STP4497130300,25,10,5,3,F
STP4497130700,16,10,5,3,F
STP4497130500,19,10,5,3,F
STP4497130900,12,10,5,4,F
441-030-910-2,7,72,5,4,F
449-713-050-0,5,22.22,5,4,F
441-030-917-2,1,55,5,4,F
473-500-008-0,1,60,5,4,F
S400-500-1010,5,570,5,5,F
400-500-102-0,1,683,5,5,F
400-860-000-0,1,1778,5,5,F
741154-9011,1,1000,5,1,G
5459711RX,1,1000,5,1,G
7000-007-3818,1,1000,5,1,G
2882112,1,1000,5,2,G
171701,1,650,5,2,G
15L-98-13,1,1000,5,2,G
7000-007-3658B,1,1000,5,3,G
171702,1,650,5,3,G
7000-007-3819,1,1000,5,3,G
24-256,1,882,5,4,G
14-256,1,591,5,4,G
25-DP,1,1985,5,5,G
1S-DP,1,648,5,5,G
466296MTL,4,31,5,3,H
466297,5,79,5,3,H
E-4968-L,10,2,5,2,H
13-7026,50,2.39,5,2,H
13-7042,50,4.73,5,2,H
2073190000170,1,534,5,1,I
150.T1101.S1,2,160,5,1,I
13-3052,50,1.4,5,2,I
13-1572,30,3.39,5,2,I
13-1571,35,3.1,5,2,I
13-1587,25,6.22,5,2,I
13-1550,45,6.85,5,3,I
13-1552,40,4.83,5,3,I
13-1589,30,3.79,5,3,I
13-1544,35,4,5,3,I
13-1551,35,4.83,5,3,I
CON10082219,1,358,5,2,J
CON10082207,1,369,5,2,J
STPK324-383,2,88.31,1,3,C
STPK233-520,1,21,1,3,C
M85919,9,64,1,2,C
S-14587-1,8,40.86,1,1,D
S-23566,1,46.74,1,1,D
S-23743,2,70.67,1,1,D
S-20126,4,57.41,1,1,D
R803055,4,104,1,2,F
R803106,4,104,1,2,F
R803112,3,104,1,2,F
R803048,2,104,1,2,F
R806026A,1,104,1,2,F
AS1132,6,93,1,3,F
AS1133,2,93,1,3,F
AS1136,2,93,1,3,F
AS1140,2,93,1,3,F
AS1141,3,93,1,3,F
AS1144,1,93,1,3,F
AS1147,2,93,1,3,F
AS1150,1,93,1,3,F
AS1172,1,93,1,3,F
MK41100S,3,115,1,4,F
MK42100S,2,115,1,4,F
MK42101S,2,115,1,4,F
HS1133,9,66,1,1,G
HS1136,10,66,1,1,G
HS1140,2,66,1,1,G
H801073N,2,66,1,1,G
H801074N,10,66,1,1,G
H802447N,9,66,1,2,G
H802446N,7,66,1,2,G
H801042N,9,66,1,2,G
D0010140,1,66,1,3,G
D0010305,6,66,1,3,G
H801041N,3,66,1,3,G
136.103,6,53.99,1,3,G
MSA105A,3,24,1,3,G
MSA112A,1,24,1,3,G
279947N,2,46,1,3,G
PL1132,4,55,1,4,G
CS56032,1,123,1,4,G
PL1133,4,55,1,4,G
PL1136,4,55,1,4,G
PL1140,4,55,1,4,G
PL1141,4,55,1,4,G
PL-10143,5,55,1,4,G
PL-10155,4,55,1,4,G
PL-10211,4,55,1,4,G
PL-10212,5,55,1,5,G
PL-10216,4,55,1,5,G
PLR801073,4,55,1,5,G
PLR802446,2,55,1,5,G
PLR802446B,2,55,1,5,G
PLR802447,4,55,1,5,G
PL-10306,5,55,1,5,G
HDAH41752,7,18.5,1,2,H
TRK1306,3,212,1,2,H
KIT11302,2,212,1,3,H
S-20924,10,21,1,4,H
S-20925,10,21,1,4,H
S-21099,14,14.77,1,4,H
S-26807,4,8.05,1,4,H
S-21337,4,17.63,1,4,H
S-28501-500,6,9.8,1,5,H
S-28501-575,10,10,1,5,H
S-27067-4L,1,196,1,1,I
S-27067-4R,1,196,1,1,I
R005872,1,2.3,1,2,I
R004969R,1,2.5,1,2,I
R008980,2,10.98,1,2,I
AB9781P1,1,22.89,1,3,I
PU242-58,4,26.36,1,4,I
STP14-14277-000,4,192,1,1,J
STP14-18528-000,3,100,1,1,J
463.DS7565,1,166,1,1,J
HDS1179,1,126,1,1,J
463.DS1214,1,75,1,1,J
STP14-17546-000,7,105.95,1,1,J
STP14-17298-000,4,100,1,2,J
STPFDL1215A,5,93,1,2,J
STPFDL979A,5,124.5,1,2,J
463.DS5533,2,126,1,2,J
STP14-17303-000,4,133,1,2,J
STPFDL1214A,4,75.19,1,2,J
463.DS5908B,2,114,1,3,J
STP20794767,2,94,1,3,J
463.DS1266,1,153,1,3,J
463.DS7538,1,195,1,3,J
WADS1275,2,126,1,3,J
STP14-10299-001,7,170,1,3,J
STP14-12479-000,3,149,1,4,J
STP14-12098-005,2,136,1,4,J
STP14-17299-000,2,174,1,4,J
STP14-12098-001,8,123,1,4,J
STP14-12349-000,2,124,1,5,J
STP14-19428-000,4,156,1,5,J
STP21657078,2,129,1,5,J
STP14-17322-000,2,162.8,1,5,J
STP14-17302-000,1,162,1,5,J
5-675X,1,63.86,1,1,A
25-676X,1,71,1,2,A
5-677X,2,82,1,2,A
HDS250X,1,150,1,2,A
KIT2429,1,27,1,3,A
NEP1-0475,5,27.8,1,3,A
HD210661-1X,1,65,1,3,A
STP128049,1,12.15,1,4,A
STP20-74-91,1,9.26,1,4,A
STP250-74-11,1,12.15,1,4,A
STP131095K,1,17.85,1,4,A
