PART NUMBER,QUANTITY,PRICE,AISLE,SELF,COLUMN
800155,1,48.88,1,1,B
800350,2,28,5,1,B
800370,1,28.78,5,1,B
800372,5,28.16,5,1,B
800375,3,28.5,5,1,B
276599,1,37.33,5,1,B
107800N,1,38.23,5,1,B
109495,2,98.4,5,1,B
278614N,2,37.42,5,2,B
205105N,2,37.1,5,2,B
284726N,1,64.4,5,2,B
278825N,4,108.4,5,2,B
801116,2,49.3,5,2,B
284142N,2,14,5,2,B
278598N,2,41.06,5,2,B
5002741,3,16.28,5,2,B
802743,2,26.74,5,3,B
802744,1,40.34,5,3,B
OR289714,1,44,5,3,B
OR229859,2,14,5,3,B
OR279000,1,54.65,5,3,B
801931,1,225,5,3,B
803115,3,75.5,5,4,B
K1289130RX,2,255,5,4,B
K1289140RX,3,252,5,4,B
K1289160RX,3,360.31,5,4,B
K0796700RX,1,326,5,4,B
BEN65706,4,77,5,4,B
BEN65661,1,185,5,4,B
OR65146,1,195,5,4,B
BEN65476,1,183,5,4,B
K021562,1,266,5,5,B
K021558,1,266,5,5,B
OR109615,1,115,5,5,B
BEN65303,3,107,5,5,B
OR102626,2,42.18,5,5,B
OR288267,2,216,5,5,B
BEN65430,1,135,5,5,B
OR281865,1,77,5,6,B
OR109264X,1,114,5,6,B
OR103009,2,48,5,6,B
OR103010,2,51,5,6,B
OR65146,1,195,5,6,B
K070962,1,375,5,6,B
802911,1,132,5,6,B
OR286171,1,77,5,6,B
109578,2,57,5,1,C 
5006939,2,18.31,5,1,C
131081,1,55,5,1,C
K109119,1,98,5,1,C
AC078,2,33,5,1,C
AC159,1,15,5,1,C
AC160,1,30,5,1,C
OR284358X,2,24,5,2,C
K022105,4,107,5,2,C
STP248433,4,3.83,5,2,C
STP08-02934,1,28.56,5,2,C
STP3202-2E,2,21.77,5,2,C
800257,1,246.68,5,3,C
800259,1,282,5,3,C
800260,2,288,5,3,C
800516,1,249,5,3,C
800518,1,253,5,3,C
800523,1,249,5,3,C
K035691,2,323,5,3,C
801591,1,161,5,4,C
K078219,1,445,5,4,C
800840,1,300,5,4,C
802122,2,268,5,4,C
801360,1,278,5,4,C
90554615,3,50,5,1,D
KN28500,1,65,5,1,D
KN20615,1,280,5,1,D
KN34060X,2,74,5,1,D
KN28510RX,1,44.34,5,1,D
KN34127,3,200.63,5,1,D
KN34123,2,198,5,2,D
AL919338,1,310,5,2,D
AL364040,1,250,5,2,D
AL364041,1,257,5,2,D
AL919348,1,461,5,2,D
AL430614,1,431,5,3,D
AL430624,1,441,5,3,D
AQ960503,1,574,5,3,D
AL919902,2,72,5,3,D
AL919805,2,36.2,5,4,D
KN27000,1,134.84,5,4,D
90054007,2,67.25,5,4,D
90555376,2,101.17,5,4,D
90555375,2,111,5,4,D
140270,2,26.83,5,1,E
17600B,3,56.15,5,1,E
SEL5400,2,169.2,5,1,E
110170,2,94.84,5,1,E
110360,2,95,5,1,E
110380,2,103,5,1,E
110470,2,155,5,1,E
110474,1,69,5,1,F
SEL110500,2,67,5,1,F
SEL110580,3,103.6,5,1,F
SEL110700,2,80,5,1,F
SEL110800,3,87,5,1,F
SEL2550,4,28,5,1,F
STP4005001020G,2,471,5,5,F
STPS4005001030G,1,555,5,5,F
S4005001010,1,616,5,2,F
9500HP,1,521.5,5,5,G
14-256-1,1,595,5,5,G
14-256,1,595,5,4,G
8901N,1,390,5,3,G
8905N,1,390,5,4,G
453-0223,1,394,5,1,J
453-0243,1,383,5,1,J
453-0264,1,486,5,1,J
453-0273,1,450.75,5,2,J
CON10082201,1,364,5,1,K
CON10082217,1,410,5,1,K
CON10082218,1,376,5,1,K
CON10082229,1,473.41,5,2,K
CON10082252,2,196,5,2,K
CON10082231,1,336,5,2,K
10083512,1,1086,5,,
5-279X,2,68,3,1,A
5-280X,6,61,3,1,A
5-281X,6,96,3,1,A
5-407X,4,83,3,1,A
5-676X,6,114,3,1,A
SPL100-1X,2,83.36,3,2,A
SPL170-4X,7,114.21,3,2,A
SPL250-3X,9,166,3,2,A
10094142,8,90,3,3,A
350CB04X,4,131,3,3,A
6-5-70-18X,14,11.95,3,4,A
170-70-18X,14,21.64,3,4,A
250-70-18X,12,19.15,3,4,A
90-70-28X,6,11.87,3,4,A
211941X,2,26.59,3,4,A
350-70-18X,2,36.29,3,4,A
5-153X,9,14.66,3,5,A
5-103X,13,22.89,3,5,A
131095K,2,21.98,3,5,A
231502,4,9.85,3,5,A
128049,5,13.45,3,5,A
SP1250-74-11,4,14.63,3,5,A
SPI20-74-91,4,12.04,3,5,A
M280X,4,48.5,3,1,B
M281X,5,73.43,3,1,B
M675X,4,50.83,3,1,B
M676X,3,80.29,3,1,B
US170X,4,94,3,1,B
US250X,4,137,3,1,B
CP20-RPL-S1,4,110,3,2,B
CP25-RPL-S1,2,161,3,2,B
MCB206,3,106,3,2,B
A11205X2728,4,66.26,3,3,B
A11205Z2730,4,68.73,3,3,B
A11205A2731,1,68.73,3,3,B
KIT2638,6,25.21,3,4,B
KIT RPL 25 20,6,27.7,3,4,B
R945007,2,70.3,3,4,B
R945008,2,56.23,3,4,B
R945010,2,74.6,3,4,B
A 1199 R 4048,4,4.65,3,4,B
STPX12-1207G,4,2.47,3,4,B
KIT 2902,4,9.54,3,4,B
127589,1,9.44,3,5,B
210737,4,43.1,3,5,B
210736,4,56.37,3,5,B
210724,3,34.14,3,3,B
129047,1,24.12,3,3,B
