"ARRALE ENERGY INC",7802009227,1589.34,1589.34,0,0,0
"TRIPLE S TRUCK & TRAILER REPAIR",2368814513,1580.04,1580.04,0,0,0
"1604799 AB LTD / RA TRUCKING",7802982757,1505.85,1505.85,0,0,0
"MANSPOWER ENTERPRISE",7808078283,1497.27,1497.27,0,0,0
"M & P TRUCKING LTD",7809708302,1474.17,1474.17,0,0,0
"1816845 ALBERTA LTD",7808506121,1374.04,1199.35,174.69,0,0
"2546186 AB LTD",5875906343,1353.07,1353.07,0,0,0
"SARA TRANSPORT LTD",4039985112,1333.5,1333.5,0,0,0
"H JODHAN INVESTMENTS",7802717676,1256.54,1256.54,0,0,0
"BAZZ TRANSPORT LTD",3066652299,1254.09,1254.09,0,0,0
"HARKUL HOLDING LTD",7804714442,1238.19,689.19,549,0,0
"12899281 CANADA INC / BIRRING LO",7807182687,1214.23,0,0,0,1214.23
"DTS TRUCKING",7802630027,1145.52,769.13,376.39,0,0
"PATTAR TRUCKING LTD",7809668000,1139.39,1139.39,0,0,0
"BABA SAHIB SINGH TRUCKING LTD /",7802316651,1136.76,0,0,0,1136.76
"1654981 ALBERTA LTD",7808503595,1126.84,1264.95,-138.1,0,0
"2218530 AB LTD",7802636013,1126.52,1040.97,0,85.55,0
"1870760 ALBERTA LTD",2042184665,1056.1,1056.1,0,0,0
"DAVE'S DIESEL REPAIR",7809621264,1022.77,0,0,0,1022.77
"CJN TRUCKING LTD",7802781256,1021.69,1021.69,0,0,0
"G SRAN HOLDING LTD",7802711864,1011.83,1011.83,0,0,0
"HANS BROTHER TRUCKING LTD",7808932100,988.87,988.87,0,0,0
"2682825 AB LTD / LTS",7803990124,984.34,984.34,0,0,0
"BLUE HORSE 1983 LTD",5875980044,981.65,981.65,0,0,0
"MCU DIESEL PERFORMANCE INC",3068504952,980.58,0,980.58,0,0
"SHAN TRUCKING LTD O/A 1164797 AB",7802399377,952.48,952.48,0,0,0
"1902904 ALBERTA INC.",7802351122,928.07,651.42,276.65,0,0
"OIL LINK TRUCKING LTD",7806678067,927.73,927.73,0,0,0
"BS SANDHU TRUCKING INC.",7802781395,905.31,905.31,0,0,0
"ASR CARRIERS",7806776300,875.01,875.01,0,0,0
"CHEEMA 1 TRUCKING",7806045744,862.91,851.37,0,11.54,0
"HHC TRANSPORT LTD",7809350913,857.39,857.39,0,0,0
"EDMONTON EVERGREEN TRUCK WASH &",7809667507,836.46,836.46,0,0,0
"G.S AULAKH TRUCKING LTD.",7802438067,797.79,797.79,0,0,0
"DSP TRANSPORT",7802986781,787.5,0,0,0,787.5
"HARI SHARAN TRUCKING LTD",6393292599,737.68,546.7,190.97,0,0
"WHITE HAWK WELDING & MECHANICAL",7809954686,735,735,0,0,0
"ADILO TRUCKING INC",4033978149,732.54,732.54,0,0,0
"AZAD TRANSPORT LTD",7802669565,664.05,664.05,0,0,0
"SWITCHX DILIVERY EXPERT LTD",5875006594,652.64,652.64,0,0,0
"TAVLEEN TRANSPORT LTD",7802970482,639.92,639.92,0,0,0
"SKY FORCE INC",7804461602,636.43,636.43,0,0,0
"VELOCITY TRUCK CENTRES",7808756211,629.91,0,0,0,629.91
"1788084 AB LTD",5878924300,607.49,607.49,0,0,0
"ABS TRUCK AND TRAILER PARTS LTD",7804794700,603.34,0,0,0,603.34
"MANVIR TRANSPORT",7802938707,592.78,592.78,0,0,0
"A.B.S. TRUCK AND TRAILER REPAIR",7808194619,582.63,582.63,0,0,0
"BNV DIESEL SERVICES INC",7802371063,568.28,568.28,0,0,0
"NAGRA TRUCKLINE LTD",7808066363,564.15,564.15,0,0,0
"EDMONTON TRUCK TIRE REPAIR",7803406585,535.68,535.68,0,0,0
"1717616 ALBERTA LTD",7802636267,534.11,219.02,315.09,0,0
"HARKUL WINDSHIELD",7804714442,529.22,505.81,23.42,0,0
"NATFIL ENTERPRISE INC",3063514261,509.78,509.78,0,0,0
"RAM DAS TRUCKING LTD",7809157753,505.77,539.08,521.43,324.52,-879.25
"JAS TRANSPORT LTD",7802393434,505.53,505.53,0,0,0
"PURBA TRANSPORT LTD",7809350753,498.7,498.7,0,0,0
"BSB TRANSPORT LTD",7802329600,497.59,497.59,0,0,0
"A & G DHALIWAL TRUCKING LTD",7809196373,486.89,318.13,168.76,0,0
"BRIMSTONE SULPHUR INC",7809602129,482.84,0,115.11,314.69,53.04
"1040023 AB LTD O/A J&M RANDHAWA",7809954706,461.61,461.61,0,0,0
"KAILPUR TRUCKING LTD",7807178767,436.34,436.34,0,0,0
"AIM HOLDING",7807181218,425,0,425,0,0
"1682562 AB LTD",7806678528,415.47,435.47,-20,0,0
"AK DHALIWAL TRUCKING",7802713011,399.96,349.12,50.84,0,0
"KAHLON TRUCKING & TRANSPORT.",7802433111,393.89,69.03,324.86,0,0
"1707854 ALBERTA LTD",7802644713,389.85,283.83,106.02,0,0
"543649 ALBERTA LTD / VIJAY TRUCK",7802650192,384.9,384.9,0,0,0
"PRECIOUS EXPRESS LTD",17805451493,384.83,384.83,0,0,0
"G & S GILL TRUCKING LTD",7808035113,330.75,330.75,0,0,0
"UNITED DIESEL",7802421682,275.51,0,0,0,275.51
"CS CHAHAL TRANSPORT LTD",7802668972,265.41,265.41,0,0,0
